code	datetime	media_type	product_type	like_count	comment_count	plays	carousel_n	likes_hidden	usertags	has_location
Dc31YMXxg8T	2026-09-04T16:41	2	clips	33	8	745	0	0	4	0
Dc1xoZtlc87	2026-09-03T21:27	8	carousel_container	3	4	0	4	1	0	1
Dc0ujSfPTs8	2026-09-03T11:42	2	clips	3	40	2010	0	1	4	1
DczWVYQPaQQ	2026-09-02T22:50	1	feed	3	0	0	0	1	0	1
DczJMdlvB7M	2026-09-02T20:57	2	clips	3	7	877	0	1	3	1
DcynSn3RFLL	2026-09-02T15:59	2	clips	3	40	1731	0	1	3	0
DcyJSK1v1WN	2026-09-02T11:38	2	clips	3	11	1489	0	1	5	1
DcvlD_8vI6c	2026-09-01T11:44	2	clips	3	8	941	0	1	5	1
DcqoLlHPtMO	2026-08-30T13:34	2	clips	3	14	1161	0	1	1	1
Dco2g6nld29	2026-08-29T20:59	8	carousel_container	3	4	0	2	1	0	1
DcmSgQiP6Xy	2026-08-28T21:12	2	clips	3	4	974	0	1	19	1
DckT2i2PHAs	2026-08-28T02:41	2	clips	3	4	1120	0	1	4	1
DcjWiHZFZ9k	2026-08-27T17:44	8	carousel_container	3	4	0	3	1	0	1
DchgmnXPRQK	2026-08-27T00:41	2	clips	3	38	3506	0	1	2	1
Dcgka0FlcV1	2026-08-26T15:47	8	carousel_container	3	6	0	3	1	0	1
DccIkL5PE_z	2026-08-24T22:32	2	clips	3	0	705	0	1	4	1
Dca-mU1vWjW	2026-08-24T11:42	2	clips	3	2	2137	0	1	3	1
DcaAD8rlR6r	2026-08-24T02:34	8	carousel_container	3	4	0	2	1	1	1
DcUzOI6lWPa	2026-08-22T02:06	8	carousel_container	3	2	0	5	1	0	1
DcUDdgApTbC	2026-08-21T19:11	2	clips	37	3	1520	0	0	1	0
DcQ0rajvcoC	2026-08-20T13:04	1	feed	3	5	0	0	1	1	1
DcKImPcvRqw	2026-08-17T22:43	2	clips	3	13	1319	0	1	2	1
DcGPcs_Pjrv	2026-08-16T10:29	2	clips	3	5	1875	0	1	3	1
DcFhtVwlQaX	2026-08-16T03:44	8	carousel_container	3	12	0	2	1	2	1
DcE_SY6FU1S	2026-08-15T22:43	8	carousel_container	3	2	0	3	1	3	1
DcCzW4JMurQ	2026-08-15T02:22	2	clips	3	0	888	0	1	2	1
DcBXvPgFVXh	2026-08-14T13:00	8	carousel_container	3	3	0	3	1	1	1
DcAZbdAv64T	2026-08-14T04:00	2	clips	3	2	1003	0	1	3	1
Db98lWYPchA	2026-08-13T05:07	2	clips	3	2	1945	0	1	2	1
Db9Yr-wv18Z	2026-08-12T23:53	2	clips	3	1	1297	0	1	3	0
Db8zSMQv3F3	2026-08-12T18:26	2	clips	3	0	630	0	1	2	1
Db6k9wBP9S4	2026-08-11T21:42	2	clips	3	2	1058	0	1	1	1
Db6E8x1PcEo	2026-08-11T17:02	2	clips	3	5	1197	0	1	1	0
Db1TcTAPTZl	2026-08-09T20:33	2	clips	3	0	1309	0	1	0	1
DbtIKWQPGX1	2026-08-06T16:20	2	clips	3	1	769	0	1	3	1
DbrGM7xlac5	2026-08-05T21:23	8	carousel_container	3	11	0	9	1	5	1
Dbp6kIjPv6E	2026-08-05T10:25	2	clips	3	1	1049	0	1	1	1
DbnuSB6PL-j	2026-08-04T14:00	2	clips	3	2	1681	0	1	3	1
Dbmzfo7Pe8_	2026-08-04T05:26	2	clips	3	14	1639	0	1	17	1
DbihZoaldUQ	2026-08-02T13:28	8	carousel_container	3	2	0	3	1	1	1
Dbg28L4vb5m	2026-08-01T22:00	2	clips	3	3	2136	0	1	2	1
Dbg0K7AlX8I	2026-08-01T21:33	8	carousel_container	3	2	0	2	1	2	1
Dberm90vtWP	2026-08-01T01:42	2	clips	3	5	1926	0	1	6	0
DbeHxIAPKUw	2026-07-31T20:28	2	clips	3	7	1519	0	1	3	1
DbdnS-1vaPT	2026-07-31T15:44	2	clips	3	9	1588	0	1	3	1
Dbb-0nRvb5M	2026-07-31T00:32	2	clips	3	2	1015	0	1	0	1
Dba7VXZPHCC	2026-07-30T14:41	2	clips	3	20	4668	0	1	1	1
DbZzi7nFfaj	2026-07-30T04:13	8	carousel_container	3	2	0	2	1	0	1
DbZF0OUPVNY	2026-07-29T21:36	2	clips	3	4	1737	0	1	1	0
DbYo-zNvaiD	2026-07-29T17:23	2	clips	3	2	1177	0	1	0	0
DbXKlAwla1F	2026-07-29T03:37	8	carousel_container	3	2	0	2	1	0	1
DbWhFLSvgJn	2026-07-28T21:38	2	clips	3	4	1591	0	1	5	1
DbV3TJxvuEO	2026-07-28T15:30	2	clips	3	2	972	0	1	0	1
DbUlWyWv_7_	2026-07-28T03:37	2	clips	3	0	1036	0	1	2	1
DbT7LJ7vdhq	2026-07-27T21:25	2	clips	3	1	961	0	1	1	1
DbTq2hJPjH7	2026-07-27T19:06	2	clips	3	7	1211	0	1	3	1
DbSCDB1lWPn	2026-07-27T03:46	8	carousel_container	3	0	0	6	1	0	1
DbQkMlevcMq	2026-07-26T14:09	2	clips	3	19	3989	0	1	1	1
DbPGcX7vwbp	2026-07-26T00:31	2	clips	3	0	1255	0	1	1	1
DbMLnBoPNh-	2026-07-24T21:16	2	clips	3	35	4550	0	1	1	1
DbMGXW3P4fD	2026-07-24T20:31	2	clips	3	4	840	0	1	3	1
DbL9l25vsmG	2026-07-24T19:13	1	feed	3	1	0	0	1	0	1
DbJ0A45vrub	2026-07-23T23:14	2	clips	3	0	957	0	1	5	1
