code;taken_at;media_type;product_type;like_count;comment_count;play_count;view_count;hidden;pinned;carousel;duration
uDR55DvmTg;1413114319;1;feed;14;3;-;-;0;0;-;-
wEk54XvmX2;1417452803;1;feed;30;8;-;-;0;0;-;-
2gMsd9Pmb1;1431264536;1;feed;30;7;-;-;0;0;-;-
7ioVTmvmUW;1442083553;1;feed;36;6;-;-;0;0;-;-
BE4ibzLPmYm;1462146011;1;feed;31;2;-;-;0;0;-;-
BE4k2iKvmdU;1462147279;1;feed;27;2;-;-;0;0;-;-
BJ28K37gTmB;1472829813;1;feed;78;14;-;-;0;0;-;-
BWIump_j0xv;1499196484;1;feed;71;7;-;-;0;0;-;-
BWm61W0jgNC;1500209529;1;feed;119;27;-;-;0;0;-;-
BXvEdhxjiGs;1502630496;1;feed;128;4;-;-;0;0;-;-
BaofGhdjbDy;1508852464;2;feed;66;7;-;-;0;0;-;41
BctHOgNj-oV;1513302255;1;feed;150;13;-;-;0;0;-;-
BdIUCnwDx6A;1514214943;1;feed;141;13;-;-;0;0;-;-
BddPKsNjv5B;1514917031;8;carousel_container;282;55;-;-;0;0;4;-
Bm2C8hjh-4P;1535076837;1;feed;232;28;-;-;0;0;-;-
Bw3FnT3jSet;1556586627;1;feed;213;11;-;-;0;0;-;-
BxY4LLnj-qt;1557720432;1;feed;159;5;-;-;0;0;-;-
ByG8llbjsAB;1559266249;1;feed;143;7;-;-;0;0;-;-
B0OfyycDPlT;1563814555;1;feed;213;6;-;-;0;0;-;-
B06DqmVDQvN;1565276255;2;feed;155;9;-;-;0;0;-;60
B1Bkhh1jb9G;1565528312;1;feed;212;19;-;-;0;0;-;-
B1WRHSrD9vk;1566222778;1;feed;156;8;-;-;0;0;-;-
B1jtltrj7sa;1566673915;1;feed;267;13;-;-;0;0;-;-
B1wHV76DdHk;1567090070;1;feed;237;17;-;-;0;0;-;-
B16kiBeDGL3;1567440918;1;feed;198;13;-;-;0;0;-;-
B5aw4EojLUc;1574963583;1;feed;198;7;-;-;0;0;-;-
B_D__8rjCWK;1587084662;1;feed;252;27;-;-;0;0;-;-
B_Vd9lQjrQX;1587670796;8;carousel_container;221;12;-;-;0;0;10;-
CDHfuKxj4tk;1595791891;1;feed;263;41;-;-;0;0;-;-
CDj6cq7jcM4;1596745428;1;feed;175;12;-;-;0;0;-;-
CDrNfnhj5ES;1596990294;1;feed;263;15;-;-;0;0;-;-
CEoegjcsZUF;1599046035;8;carousel_container;292;41;-;-;0;0;10;-
CEwSBJ-gvRW;1599308121;2;feed;265;30;-;1778;0;0;-;58
CHEc6N6sEur;1604279688;8;carousel_container;243;9;-;-;0;0;10;-
CHlJ9UuM98X;1605377049;1;feed;266;36;-;-;0;0;-;-
CH-VOIWs0QE;1606221814;8;carousel_container;270;24;-;-;0;0;10;-
CNlHK8QMn_e;1618260489;1;feed;347;32;-;-;0;0;-;-
CSNcxwDMbEj;1628203929;8;carousel_container;350;40;-;-;0;0;7;-
CSVgIYkMIqZ;1628474123;1;feed;213;13;-;-;0;0;-;-
CSrsYrznazW;1629218745;8;carousel_container;284;15;-;-;0;0;10;-
CTskUcoP6Z5;1631395554;1;feed;196;10;-;-;0;0;-;-
ChS_EZrPps6;1660601935;8;carousel_container;303;9;-;-;0;0;3;-
CjQRx6MAic0;1664806371;2;clips;273;15;3014;-;0;0;-;20
CryjYayOKHf;1683135997;8;carousel_container;317;24;-;-;0;0;10;-
Cs9yonrMz5E;1685660576;8;carousel_container;490;45;-;-;0;0;6;-
CxnWuRYMcLI;1695645163;1;feed;301;44;-;-;0;0;-;-
CyTmrqqOpoW;1697129925;1;feed;102;6;-;-;0;0;-;-
C0U73yPPmN4;1701469747;2;clips;280;33;6276;-;0;0;-;24
C5f9AAtuBs_;1712576754;2;clips;125;25;3378;-;0;0;-;53
C9Qdmrovi4w;1720647041;2;clips;325;98;3811;-;0;0;-;38
DDP1hLiPJhB;1733510900;2;clips;342;129;4009;-;0;0;-;90
DEDpOxvvCIl;1735249159;2;clips;107;16;3886;-;0;0;-;89
DWjZigDjQ63;1774969317;8;carousel_container;321;49;-;-;0;0;3;-
DXMV0MehsNr;1776343704;2;clips;555;246;8858;-;1;1;-;50
DYQF3W6hfeT;1778617744;2;clips;233;45;4230;-;0;1;-;51
DYZ1b6aljjC;1778943366;8;carousel_container;234;18;-;-;0;0;7;-
DYpbkW5FQof;1779466675;8;carousel_container;207;17;-;-;0;0;3;-
DY0aMGdgSdN;1779835329;1;feed;88;4;-;-;0;0;-;-
DY7jpTnhm-0;1780075101;2;clips;179;11;2570;-;0;0;-;30
DY5Q8Zih5wa;1780079393;2;clips;288;40;4407;-;0;1;-;29
DZDnVdIxJrQ;1780346218;2;clips;248;47;4492;-;0;0;-;22
DY5kZ8wBoJW;1780347668;2;clips;35;3;944;-;0;0;-;25
DaSaA4DPSVX;1782989137;2;clips;142;28;2696;-;0;0;-;13
Da0zk7goE7H;1784143439;2;clips;122;10;3241;-;0;0;-;112
DbMCnYnhf0j;1784923894;2;clips;327;64;8113;-;0;0;-;38
DbWGuV9Bjdq;1785340080;2;clips;213;65;6595;-;0;0;-;36
Dbd2ByBliIa;1785520345;8;carousel_container;196;20;-;-;0;0;4;-
DboSqEhB1CL;1785871366;1;feed;485;109;-;-;0;0;-;-
Dbow17aBW-t;1785887312;2;clips;138;33;3427;-;0;0;-;37
DbyuMXsFoIT;1786220880;8;carousel_container;441;51;-;-;0;0;6;-
DcH1vo2Bdk7;1786929948;1;feed;336;71;-;-;0;0;-;-
DccRDqOhzla;1787614959;2;clips;343;75;6695;-;0;0;-;76
Dcd7GX1FrPO;1787670488;8;carousel_container;130;8;-;-;0;0;2;-
DceILk0hefY;1787677432;1;feed;229;24;-;-;0;0;-;-
DcijNx6hW0I;1787825817;2;clips;116;20;2192;-;0;0;-;56
DclqPDBhFzN;1787930165;2;clips;126;25;2629;-;0;0;-;21
DcmYJZlFl6e;1787954102;2;clips;144;42;2431;-;0;0;-;57
DcoqAbYvzfr;1788031214;2;clips;332;43;6276;-;0;0;-;146
Dcq02AWlkOv;1788103415;1;feed;219;27;-;-;0;0;-;-
Dct9LxJh0TL;1788208594;1;feed;99;26;-;-;0;0;-;-
Dcygoe0B-zj;1788361384;2;clips;342;63;6309;-;0;0;-;73
DczXTGBBBKc;1788390079;2;clips;552;98;5350;-;0;0;-;225
Dc1ElTvhBrm;1788447316;2;clips;121;9;1591;-;0;0;-;139
Dc3tlsklm95;1788535802;2;clips;162;10;2467;-;0;0;-;45
Dc4SqYHhLM2;1788555331;2;clips;91;3;1867;-;0;0;-;67
Dc67KQAhFx4;1788643684;2;clips;105;0;1588;-;0;0;-;118
Dc9ZszdhajO;1788726801;2;clips;158;10;3896;-;0;0;-;43
Dc_ZSa4BavN;1788793717;2;clips;75;4;785;-;0;0;-;77
DdABNzDxn48;1788814616;2;clips;87;14;1243;-;0;0;-;21
