cnpj,cnpj_basico,nome_fantasia,razao_social,cnae,identificador_matriz_filial,tipo_logradouro,logradouro,numero,complemento,bairro,cep,ddd_1,telefone_1,ddd_2,telefone_2,email,data_inicio_atividade,idade_meses,porte,capital_social,natureza_juridica,opcao_simples,n_unidades_df,n_mesma_sala,n_mesmo_predio
28427447000160,28427447,,"FLORES, MENDONCA & ISACKSSON ADVOGADOS ASSOCIADOS",6911701,1,AVENIDA,COMERCIAL,1921,SALA  101,CENTRO (SAO SEBASTIAO),71691083,61,32222689,,,gfmi.advogados@gmail.com,2017-06-28,110,5,36000.0,2232,1,1,1,12
39915207000121,39915207,,AGUIAR DE PADUA & LIMA SOCIEDADE DE ADVOGADOS,6911701,1,QUADRA,CLSW 105 BLOCO B SALA,136,,SETOR SUDOESTE,70670432,81,94239425,,,welmaso.bsb@gmail.com,2020-11-25,69,5,10000.0,2232,1,1,,2
48890922000148,48890922,,ESTER SOUSA MELO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,CONJUNTO,SHA CONJUNTO 2 CHACARA 58-B CASA,8C,,SETOR HABITACIONAL ARNIQUEIRA (AGUAS CLARAS),71993310,61,92560431,,,estersousaadv@gmail.com,2022-12-14,44,5,5000.0,2321,1,1,,1
38377710000108,38377710,,PEDRO RAPOSO JAGUARIBE SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SRTVS QUADRA 701 CONJUNTO E BLS 02/04,70,SALA  133 E 134,ASA SUL,70340902,61,39648282,,,pedrojaguaribe@terra.com.br,2020-09-08,71,5,10000.0,2321,1,1,1,85
36760795000183,36760795,,LUCAS RODRIGUES DA COSTA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QUADRA 55 CONJUNTO I CASA,170,,VILA SAO JOSE (BRAZLANDIA),72755009,61,92867745,,,nevescontabilidade10@gmail.com,2020-03-24,77,1,10000.0,2321,1,1,,1
51040325000139,51040325,,RAPHAEL PAULINO GONZAGA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QI 416,S/N,CONJ  1                   LOTE  1/16                BLOCO A                   APT   901,SAMAMBAIA NORTE (SAMAMBAIA),72320300,11,98129461,,,raphaelgonzaga.adv@gmail.com,2023-06-14,38,3,10000.0,2321,1,1,1,8
44153350000163,44153350,,THIAGO SERRAT SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,"SHIN CA 08, LOTE 1, TORRE, 5, APT 07 LAGO NORTE",07,,SETOR DE HABITACOES INDIVIDUAIS NORTE,71503508,61,91736033,,,thiagoserrat@gmail.com,2021-11-08,57,5,100.0,2321,1,1,,1
50363108000117,50363108,,LUCAS SILVA DA SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,CLNW 10/11 LOTE A APARTAMENTO,222,,SETOR NOROESTE,70686605,61,96626414,,,lucas.silvas@gmail.com,2023-04-18,40,5,1000.0,2321,1,1,,1
41831887000147,41831887,,CLIMACO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QNN 8 CONJUNTO E,36,,CEILANDIA SUL (CEILANDIA),72220085,61,99999999,,,,2021-05-05,63,1,10000.0,2321,1,1,,1
55656402000130,55656402,,MATHEUS SOUSA - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QC 12 RUA G,4,APT   BLOCO G2,JARDINS MANGUEIRAL (JARDIM BOTANICO),71687630,61,83034443,,,matheus.29ms@gmail.com,2024-06-24,26,1,5000.0,2321,1,1,1,2
