cnpj_basico,n_socios,n_administradores,socio_mais_antigo
29525137,12,4,2017-12-15
24300927,11,3,2016-02-17
52064027,1,0,2023-09-04
60026346,2,1,2025-03-21
57469133,1,0,2024-09-27
52412563,1,0,2023-10-03
10374009,4,1,2008-09-04
49611525,1,0,2023-02-15
53086925,2,1,2023-12-04
48780786,2,1,2022-12-01
57644549,1,0,2024-10-10
17898774,1,0,2013-03-06
60958734,1,0,2025-05-22
33595629,1,0,2019-04-30
56083192,2,1,2024-07-25
62224567,1,0,2025-08-14
62226415,1,0,2025-08-14
59912846,2,1,2025-03-14
51628255,1,0,2023-07-31
63074354,1,0,2025-10-07
52232280,1,0,2023-09-19
37010323,1,0,2020-04-24
60915486,1,0,2025-05-20
31805124,2,1,2018-10-08
39276406,1,0,2020-10-01
63246754,1,0,2025-10-17
35461510,1,0,2019-11-08
41606945,1,0,2021-04-16
24764976,1,0,2016-04-27
45898024,1,0,2022-04-04
28340344,1,0,2017-07-13
40583168,1,0,2021-01-27
60401629,1,0,2025-04-14
36157887,1,0,2020-01-27
18258125,5,1,2016-09-30
42437264,1,0,2021-06-23
03635901,6,6,1998-08-12
50032596,1,0,2023-03-22
43558905,1,0,2021-09-17
14574855,4,2,2011-10-18
56934658,1,0,2024-08-20
46202371,1,0,2022-04-29
09294443,1,0,2007-12-21
62133323,1,0,2025-08-08
26416117,1,0,2016-10-07
59857418,2,2,2025-03-12
53312426,1,0,2023-12-27
23711656,3,1,2015-09-25
57089208,1,0,2024-08-30
46259558,1,0,2022-05-04
27410111,1,0,2017-03-08
48909016,1,0,2022-12-16
46056435,1,0,2022-04-18
28120077,1,0,2017-05-17
58356898,1,0,2024-12-05
29127203,1,0,2017-11-10
39668353,1,0,2020-11-04
52998216,2,2,2023-11-24
53998822,1,0,2024-02-21
64113449,1,0,2025-12-17
55560850,1,0,2024-06-17
64037887,1,0,2025-12-10
50439864,1,0,2023-04-25
24814370,1,0,2016-04-29
51979459,1,0,2023-08-28
54911212,1,0,2024-04-26
61474015,1,0,2025-06-26
39783718,1,0,2020-11-13
62299660,1,0,2025-08-19
63987816,1,0,2025-12-09
61305204,1,0,2025-06-13
57879502,1,0,2024-10-29
61225034,1,0,2025-06-09
04000367,48,1,2000-08-19
24310241,9,4,2015-11-26
