propensao,nome,cnpj,porte,bairro,endereco,idade_anos,unidades,arquetipo,tel_1,tel_1_tipo,tel_1_whatsapp,tel_1_corrigido,tel_2,tel_2_tipo,tel_2_whatsapp,email
0.9200,RENOVE - ESTETICA E IMPLANTES ORAIS,16.803.567/0001-36,EPP,ASA NORTE,"SETOR SCN QUADRA 2 BLOCO D ENTRADA A SALA, 1209, ASA NORTE, CEP 70712000, Brasilia/DF",14,1,especialista_alto_ticket,(61) 9 8179-0097,celular,+5561981790097,sim,,,,renove1209@gmail.com
0.9120,IMPLANTOMED,12.067.091/0001-61,EPP,ASA SUL,"QUADRA SGAS 614, SN, CONJ  C                   SALA  53 55 TERREO, ASA SUL, CEP 70200740, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3202-3656,fixo,+556132023656,,,,,contato@implantomed.com.br
0.9120,VITAL IMPLANTES E TRATAMENTOS DENTARIOS,10.255.802/0001-04,EPP,ASA NORTE,"CONJUNTO SETOR DE DIVERSOES NORTE CONJUNTO A, S/N, SALA  5075 - 5077 - 5079  SALA  5116 - 5118, ASA NORTE, CEP 70077900, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3032-5666,fixo,+556130325666,,,,,adm@vitalclinica.com.br
0.9105,OSTEO IMPLANTE,10.283.428/0001-42,EPP,TAGUATINGA,"QUADRA QNC 07 LOTE 02 LOJAS 01, 02, 03 E 04, S/N, TERREO, TAGUATINGA, CEP 72115570, Brasilia/DF",18,2,multi_unidade,(61) 3036-6116,fixo,+556130366116,,,,,
0.9040,PATRICIA PIZZO ORTODONTIA,18.658.855/0001-70,EPP,NORTE (AGUAS CLARAS),"RUA 5 NORTE LOTE, 3, SALA  414, NORTE (AGUAS CLARAS), CEP 71907720, Brasilia/DF",13,1,marca_pessoal,(61) 3024-1777,fixo,+556130241777,,(61) 9 9904-1777,celular,+5561999041777,patriciapizzoreis@gmail.com
0.9040,INSTITUTO DE ORTODONTIA MACHADO E AUDICAO,02.272.945/0002-79,EPP,ASA NORTE,"SETOR SHN QUADRA 2 BLOCO H, 30, LOJA  65 70 74            SLJ, ASA NORTE, CEP 70702905, Brasilia/DF",17,1,especialista_alto_ticket,(61) 3225-0655,fixo,+556132250655,,,,,brendo@cclcontabilidade.com.br
0.9000,EVERFACE ODONTOLOGIA ESPECIALIZADA,12.007.751/0001-19,EPP,ASA SUL,"SETOR SRTVS QUADRA 701 CONJUNTO L BLOCO 2, S/N, SALA  531                 EDIF  ASSIS CHATEAUBRIAND, ASA SUL, CEP 70340906, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3326-3361,fixo,+556133263361,,,,,institutoer@gmail.com
0.8960,ORTHOS TAGUATINGA,11.438.103/0001-54,DEMAIS,AREAL (AGUAS CLARAS),"QUADRA QS 3 LOTES 03 A 09 LOJA, 06, AREAL (AGUAS CLARAS), CEP 71953000, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3901-2015,fixo,+556139012015,,,,,taguatinga@orthosonline.com.br
0.8940,FABULA ODONTOPEDIATRIA E ORTODONTIA,09.431.884/0001-03,DEMAIS,ASA NORTE,"SETOR SETOR COMERCIAL NORTE, QUADRA 02, BLOCO D, ENTRADA B, SN, SALA  1108 1110 E 1111, ASA NORTE, CEP 70712903, Brasilia/DF",18,2,multi_unidade,(61) 9 9967-5834,celular,+5561999675834,sim,,,,gabimlopes@gmail.com
0.8880,FACES ODONTOLOGIA ESTETICA LTDA,24.396.735/0001-44,EPP,AGUAS CLARAS,"AVENIDA DAS ARAUCARIAS LOTES 1835,1905,1955 E 2005 SALA, 551, EDIF  SHOP AGUAS CLARAS, AGUAS CLARAS, CEP 71936250, Brasilia/DF",10,1,especialista_alto_ticket,(61) 3011-2400,fixo,+556130112400,,,,,contato@facesodontologia.com.br
