cnpj_basico,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,cnae_fiscal_principal,cnae_descricao,origem_recorte,cnae_fiscal_secundaria,logradouro,numero,complemento,bairro,cep,id_municipio,telefone_1,telefone_2,email,data_inicio_atividade,idade_meses,porte,capital_social,natureza_juridica,opcao_simples,data_opcao_simples,opcao_mei,n_unidades_df,n_unidades_br,n_ufs,n_cnpjs_no_endereco,endereco_suspeito
30404226,30404226000976,2,SMILETECH TECNOLOGIA ODONTOLOGICA LTDA.,SOUSMILE,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA SCN,QD 1,SALA  105 106 E 107       BLOCO G,ASA NORTE,70711070,5300108,(11) 41882200,,pizetta@sousmile.com,2020-01-15,79,5,9.8855878E7,2062,0,2018-05-09,0,1,8,4,1,false
08866479,08866479006005,2,SERMED - MEDICINA HUMANA & VETERINARIA LTDA,,8630504,Atividade odontológica,cnae_principal,"8650003,8650004",QUADRA QNG 9/11,SN,LOTE  01/02,TAGUATINGA NORTE (TAGUATINGA),72130090,5300108,(81) 34134611,,contabilidade@sereducacional.com,2024-04-10,28,5,5.8224351E7,2062,,,,1,63,17,4,false
02751464,02751464001218,2,ODONTOGROUP - SISTEMA DE SAUDE LTDA,ODONTOGROUP,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA CSG 6,S/N,LOTE  1/2                 SALA  01,TAGUATINGA SUL (TAGUATINGA),72035506,5300108,(61) 34210000,,suporte@nbstecnicos.com.br,2004-07-16,265,5,2600000.0,2062,,,,1,4,3,3,false
06091551,06091551000194,1,MEDEIROS CLINICA DE ODONTOLOGIA ESTETICA E HARMONIZACAO ORO FACIAL CORPORAL LTDA,AMAZING HOF,8630504,Atividade odontológica,cnae_principal,"4618402,4771701,4771702,4771703,6550200,7210000,8630501,8630502,8630503,8630506,8630507,8630599,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640210,8640211,8640212,8640213,8640214,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650007,8650099,8660700,8690901,8690902,8690903,8690904,8690999","AVENIDA DAS ARAUCARIAS LOTES 1835, 1905, 1955 E",2005,SALA  566,SUL (AGUAS CLARAS),71936250,5300108,(61) 82136761,,carvalho@carvalhoempreenderjuridico.com,2003-12-04,272,1,2500000.0,2062,0,2022-01-01,0,1,1,1,190,true
05058559,05058559000196,1,IMPLANTS ODONTOLOGIA SOCIEDADE SIMPLES LTDA,SEDAODONTO,8630504,Atividade odontológica,cnae_principal,,"SETOR SRTVN QUADRA 701 CONJUNTO C N 124, SALAS 309, 311 E 313,",S/N,      ALA B,ASA NORTE,70719030,5300108,(61) 33262220,,implants@gruponascimento.com,2002-05-17,291,1,1793501.0,2240,,,,1,1,1,18,true
26498659,26498659000103,1,ODONTO P SUL LTDA,ESTHETICS INSTITUTO DE ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,QUADRA QNM 2 CONJUNTO F LOTE,11,SALA  204,CEILANDIA NORTE (CEILANDIA),72210026,5300108,(61) 91784427,,estheticsodontologia@outlook.com.br,1990-10-17,430,5,1180000.0,2062,0,2017-01-01,0,1,1,1,5,false
55506983,55506983000124,1,CROOL BY RIOS ODONTOLOGIA E MEDICINA INTEGRADA LTDA,CROOL BY RIOS ODONTOLOGIA E MEDICINA INTEGRADA,8630504,Atividade odontológica,cnae_principal,"8630501,9602502,3250706,8640205,8640204",SETOR SHIS QI 3 LOTE A BLOCO C,S/N,EDIF  TERRACOTA,SETOR DE HABITACOES INDIVIDUAIS SUL,71605200,5300108,(61) 81751833,(0000) 00000000,financeiro@clinicarios.com.br,2024-06-12,26,5,1000000.0,2062,,,,1,1,1,18,true
12492303,12492303000158,1,INTEGRATO MEDICINA DENTAL AVANCADA LTDA,INTEGRATO MEDICINA DENTAL AVANCADA,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA SGAS 614,S/N,CONJ  C                   SALA  38,ASA SUL,70200740,5300108,(61) 34439555,(61) 83460027,admin@integrato.com.br,2010-09-03,191,5,960000.0,2062,,,,1,1,1,69,true
48575446,48575446000170,1,MRG ODONTOLOGIA LTDA,ORAL SIN IMPLANTES,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA SHCGN CR 710/711 BLOCO A,52,LOJA  64,ASA NORTE,70750551,5300108,(61) 30228030,,asanorte@oralsin.com.br,2022-11-10,45,3,800000.0,2062,,,,1,1,1,1,false
44550342,44550342000150,1,VENITI ODONTOLOGIA LTDA,VENITI ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,"3250706,8211300,8219999,8533300,8541400,8542200,8550302,8599604,8599699,8630503,8640205,9602502",RUA COPAIBA LOTE,01,      TORRE A             SALA  1601 A 1604,NORTE (AGUAS CLARAS),71919540,5300108,(61) 91198306,,venitiodontologia@gmail.com,2021-12-10,56,3,800000.0,2062,1,2021-12-10,0,1,1,1,889,true
