posicao,nota_capacidade,razao_social,nome_fantasia,cnpj_formatado,cnae,cnae_descricao,endereco,bairro,municipio,telefone,telefone_2,email,data_inicio_atividade,idade_meses,porte,porte_desc,opcao_simples,capital_social,n_unidades_br,n_unidades_df,n_ufs,natureza_juridica_desc,tipo_negocio,franquia,endereco_suspeito,n_cnpjs_mesma_sala,n_cnpjs_mesmo_predio,origem_recorte,validado_receita,validacao_data,validacao_situacao,nota_capacidade_conta
1,97,AFP CLINICA ODONTOLOGICA LTDA,OSTEO IMPLANTE,10.283.428/0001-42,8630504,Atividade odontológica,"QUADRA QNC 07 LOTE 02 LOJAS 01, 02, 03 E 04, S/N, TERREO, TAGUATINGA, CEP 72115570, Brasilia/DF",TAGUATINGA,Brasilia/DF,(61) 30366116,,,2008-08-18,216,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,500000.00,3,2,2,Sociedade Empresaria Limitada,clinica,nao,nao,1,11,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 22 + n_unidades 13 + regime_tributario 16 + maturidade 14 = 97 | NOTA 97/100
2,84,QUATRO ODONTOLOGIA LTDA,QUATRO ODONTOLOGIA,21.909.968/0001-05,8630504,Atividade odontológica,"SETOR SGAS 610, S/N, CONJ: F; BLOCO: 01; SALA: T-13 T-14 T-15  T-16;, ASA SUL, CEP 70200700, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 30364100,(61) 30477290,atendimento@opencontabil.com,2015-02-12,138,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,400000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,97,cnae_principal,sim,2026-08-18,ATIVA,porte 28 + capital_social 19 + n_unidades 9 + regime_tributario 16 + maturidade 12 = 84 | NOTA 84/100
3,83,CLINICA ODONTOLOGICA ORTORISO LTDA,CLINICA ORTORISO,04.401.387/0001-49,8630504,Atividade odontológica,"QUADRA 08 BLOCO 22 LOTE 04 SALAS 01 E, 02, SOBRADINHO, CEP 73005080, Brasilia/DF",SOBRADINHO,Brasilia/DF,(61) 5910002,,,2001-04-25,304,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,200000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,8,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 9 + regime_tributario 9 + maturidade 14 = 83 | NOTA 83/100
4,83,ODONTOMED CLINICA ODONTOLOGICA LTDA,INSTITUTO LSP - ODONTOLOGIA E MEDICINA,02.574.424/0001-95,8630504,Atividade odontológica,"LOC  QSA 21 CASA 19, S/N, TAGUATINGA, CEP 72015210, Brasilia/DF",TAGUATINGA,Brasilia/DF,(61) 91324648,(61) 99710730,diretoria.odontomed@gmail.com,1992-08-17,408,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,8,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 9 + regime_tributario 16 + maturidade 14 = 83 | NOTA 83/100
5,82,SANCHES & SANCHES CLINICAS ODONTOLOGICAS LTDA,COIFE ODONTO BRASILIA,23.244.004/0001-10,8630504,Atividade odontológica,"QUADRA C 7 LOTE, 04, LOJA  02, TAGUATINGA CENTRO (TAGUATINGA), CEP 72010070, Brasilia/DF",TAGUATINGA CENTRO (TAGUATINGA),Brasilia/DF,(61) 35620303,(61) 96372760,coifeodontotaguatinga@gmail.com,2015-08-31,132,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,500000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,3,7,cnae_principal,sim,2026-08-18,ATIVA,porte 28 + capital_social 22 + n_unidades 4 + regime_tributario 16 + maturidade 12 = 82 | NOTA 82/100
6,82,CFC CLINICA MEDICA E ODONTOLOGICA LTDA,SAUDE PLENA MEDICINA E ODONTOLOGIA ESPECIALIZADA,29.935.821/0001-00,8630504,Atividade odontológica,"QUADRA QN 310 CONJUNTO 02 LOTE, 05, SAMAMBAIA SUL, CEP 72306702, Brasilia/DF",SAMAMBAIA SUL,Brasilia/DF,(61) 30554040,,lucasmedcarreiro@hotmail.com,2018-03-14,101,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,150000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 9 + regime_tributario 16 + maturidade 9 = 82 | NOTA 82/100
7,82,CLINUS ESPECIALIDADES ODONTOLOGICAS LTDA,CLINUS ODONTOLOGIA,07.392.891/0001-18,8630504,Atividade odontológica,"QUADRA QUADRA 8 COMERCIO LOCAL 3, S/N, SALA  502 504 506         EDIF  SERRA VERDE, SOBRADINHO, CEP 73006010, Brasilia/DF",SOBRADINHO,Brasilia/DF,(61) 33873877,,,2005-05-02,255,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,5,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 82 | NOTA 82/100
8,81,CENTRO DE ASSISTENCIA BIO-PSICO SOCIAL INFANTO-JUVENIL LTDA,CABI,05.561.786/0001-30,8630504,Atividade odontológica,"QUADRA SGAS QUADRA 915 CONJUNTO N, SN, SALA  331                 PAVMTO3, ASA SUL, CEP 70390150, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 39640691,,kleuberelite@hotmail.com,2003-03-17,281,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,510000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,151,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 22 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 81 | NOTA 81/100
9,81,COB CENTRO ODONTOLOGICO DE BRASILIA LTDA,COB CENTRO ODONTOLOGICO DE BRASILIA,20.320.346/0001-84,8630504,Atividade odontológica,"SETOR SRTVS QUADRA 701 BLOCO K SALA 217 E 218, SN, EDIF  EMBASSY TOWER BSB, ASA SUL, CEP 70340908, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 81759394,(61) 81919292,odontologiacobw@gmail.com,2014-04-10,148,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,210000.00,2,2,1,Sociedade Simples Limitada,clinica,nao,nao,1,37,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 9 + regime_tributario 9 + maturidade 12 = 81 | NOTA 81/100
10,80,AMICI ODONTOLOGIA LTDA,AMICI ODONTOLOGIA,42.658.588/0001-15,8630504,Atividade odontológica,"AVENIDA PAU BRASIL LOTE, 10, SALA  1409, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",SUL (AGUAS CLARAS),Brasilia/DF,(61) 98180077,,clinicaamiciodontologia@gmail.com,2021-07-09,61,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,329,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 80 | NOTA 80/100
