propensao,nome,cnpj,porte,bairro,idade_anos,unidades,capital_social,telefone,arquetipo,capacidade,fit_ticket
0.9200,RENOVE - ESTETICA E IMPLANTES ORAIS,16.803.567/0001-36,EPP,ASA NORTE,14,1,100000.0,(61) 81790097,especialista_alto_ticket,0.8,1.0
0.9120,IMPLANTOMED,12.067.091/0001-61,EPP,ASA SUL,16,1,350000.0,(61) 32023656,especialista_alto_ticket,0.78,1.0
0.9120,VITAL IMPLANTES E TRATAMENTOS DENTARIOS,10.255.802/0001-04,EPP,ASA NORTE,18,1,80000.0,(61) 30325666,especialista_alto_ticket,0.78,1.0
0.9105,OSTEO IMPLANTE,10.283.428/0001-42,EPP,TAGUATINGA,18,2,500000.0,(61) 30366116,multi_unidade,0.97,1.0
0.9040,PATRICIA PIZZO ORTODONTIA,18.658.855/0001-70,EPP,NORTE (AGUAS CLARAS),13,1,99800.0,(61) 30241777,marca_pessoal,0.76,1.0
0.9040,INSTITUTO DE ORTODONTIA MACHADO E AUDICAO,02.272.945/0002-79,EPP,ASA NORTE,17,1,78800.0,(61) 32250655,especialista_alto_ticket,0.76,1.0
0.9000,EVERFACE ODONTOLOGIA ESPECIALIZADA,12.007.751/0001-19,EPP,ASA SUL,16,1,100000.0,(61) 33263361,especialista_alto_ticket,0.75,1.0
0.8960,ORTHOS TAGUATINGA,11.438.103/0001-54,DEMAIS,AREAL (AGUAS CLARAS),16,1,200000.0,(61) 39012015,especialista_alto_ticket,0.74,1.0
0.8940,FABULA ODONTOPEDIATRIA E ORTODONTIA,09.431.884/0001-03,DEMAIS,ASA NORTE,18,2,190000.0,(61) 99675834,multi_unidade,0.76,1.0
0.8880,FACES ODONTOLOGIA ESTETICA LTDA,24.396.735/0001-44,EPP,AGUAS CLARAS,10,1,90000.0,(61) 30112400,especialista_alto_ticket,0.72,1.0
0.8880,IBI INSTITUTO BRASILIENSE DE IMPLANTODONTIA,22.580.698/0001-02,DEMAIS,ASA SUL,11,1,80000.0,(61) 35415562,especialista_alto_ticket,0.72,1.0
